date	impact
2018-03-29	-5.0445
2018-02-09	5.0798
2017-12-27	6.1469
2017-11-24	-5.1672
2017-10-30	6.3218
2017-10-03	5.2941
2017-09-20	-5.8824
2017-09-15	7.5734
2017-08-11	5.5838
2017-05-25	5.2632
2017-05-16	6.6667
2017-05-15	11.0169
2017-05-12	5.8824
2017-05-09	7.9812
2017-05-08	6.0827
2017-04-07	5.0746
2017-03-23	5.3292
2017-03-01	-5.5394
2016-12-23	6.2331
2016-08-12	7.8431
2016-07-12	6.6015
2016-06-29	-5.9406
2016-06-24	5.4187
2016-06-23	5.7935
2016-05-19	-5.1163
2016-05-18	-5.1919
2016-05-10	6.2937
2016-04-04	6.7961
2016-04-01	10.5528
2016-03-21	5.9406
2016-03-11	6.1008
2016-03-10	7.2386
2016-03-09	-5.9459
2016-03-08	-5.5118
2016-02-15	-5.6511
2016-02-09	7.0707
2016-02-05	10.9948
2016-01-27	-7.0707
2015-12-18	9.0909
2015-11-27	-5.5556
2015-11-26	-5.7737
2015-11-24	5.0691
2015-11-23	7.8014
2015-07-09	-5.5319
2015-04-16	5.3533
2015-03-25	-5.7377
2015-03-20	-9.4488
2015-03-17	5.567
2015-03-16	14.6497
2015-01-21	-6.0797
