,max_value,daily_news_vector_sum,high,low,close,open,trades,shares,turnover,impact,impact_score
max_value,1.0,0.787,0.085,0.143,0.083,0.078,0.09,0.105,0.111,-0.031,0.092
daily_news_vector_sum,0.787,1.0,0.058,0.065,0.012,-0.002,0.181,0.175,0.181,0.051,-0.057
high,0.085,0.058,1.0,0.904,0.817,0.783,0.337,0.26,0.294,-0.107,-0.097
low,0.143,0.065,0.904,1.0,0.826,0.789,0.136,0.115,0.155,-0.101,-0.083
close,0.083,0.012,0.817,0.826,1.0,0.954,0.207,0.096,0.144,-0.061,-0.228
open,0.078,-0.002,0.783,0.789,0.954,1.0,0.185,0.134,0.179,-0.296,-0.21
trades,0.09,0.181,0.337,0.136,0.207,0.185,1.0,0.654,0.662,-0.062,-0.022
shares,0.105,0.175,0.26,0.115,0.096,0.134,0.654,1.0,0.997,-0.177,-0.004
turnover,0.111,0.181,0.294,0.155,0.144,0.179,0.662,0.997,1.0,-0.176,-0.021
impact,-0.031,0.051,-0.107,-0.101,-0.061,-0.296,-0.062,-0.177,-0.176,1.0,0.011
impact_score,0.092,-0.057,-0.097,-0.083,-0.228,-0.21,-0.022,-0.004,-0.021,0.011,1.0
